EMPRESA_JUNIOR,FEDERACAO,TEMPO_MEDIO_DIAS,META_participacao_eventos,META_Impacto,MES,FATURAMENTO,PROJETOS,N_ACOES_COMPARTILHADAS,ESTADO,CIDADE,MEMBROS
PJ Consultoria ,FEJEMG,16.5,43,15,4,5040,2,0,MG,Belo Horizonte,44
Empresa JR. ADM UFBA,UNIJr-BA,28.85,56,52,1,12334.15,5,1,BA,Salvador,32
Empresa JR. ADM UFBA,UNIJr-BA,28.85,56,52,2,32959,9,1,BA,Salvador,32
Empresa JR. ADM UFBA,UNIJr-BA,28.85,56,52,3,13600,5,0,BA,Salvador,32
Empresa JR. ADM UFBA,UNIJr-BA,28.85,56,52,4,4899,1,0,BA,Salvador,32
SIE - Soluções e Inovações em Energia,PB Júnior,18.4,80,9,1,2300,1,0,PB,,19
SIE - Soluções e Inovações em Energia,PB Júnior,18.4,80,9,2,6435.81,3,0,PB,,19
SIE - Soluções e Inovações em Energia,PB Júnior,18.4,80,9,3,2412.34,1,0,PB,,19
SIE - Soluções e Inovações em Energia,PB Júnior,18.4,80,9,4,0,0,0,PB,,19
Impact,FEJECE,45,70,5,1,700,1,0,CE,Fortaleza,18
Impact,FEJECE,45,70,5,2,0,0,0,CE,Fortaleza,18
Impact,FEJECE,45,70,5,3,0,0,0,CE,Fortaleza,18
Impact,FEJECE,45,70,5,4,0,0,0,CE,Fortaleza,18
TIJUC - Tiradentes Júnior Consulting,FEJEA,20,36,1,1,0,0,0,AL,Maceió,8
TIJUC - Tiradentes Júnior Consulting,FEJEA,20,36,1,2,0,0,0,AL,Maceió,8
TIJUC - Tiradentes Júnior Consulting,FEJEA,20,36,1,3,738,1,0,AL,Maceió,8
TIJUC - Tiradentes Júnior Consulting,FEJEA,20,36,1,4,0,0,0,AL,Maceió,8
Projet Jr - Consultoria e Projetos em Engenharia e Arquitetura,SERJÚNIOR,39.33,33,13,1,0,0,0,SE,,25
Projet Jr - Consultoria e Projetos em Engenharia e Arquitetura,SERJÚNIOR,39.33,33,13,2,265,1,0,SE,,25
Projet Jr - Consultoria e Projetos em Engenharia e Arquitetura,SERJÚNIOR,39.33,33,13,3,5980,8,0,SE,,25
Projet Jr - Consultoria e Projetos em Engenharia e Arquitetura,SERJÚNIOR,39.33,33,13,4,0,0,0,SE,,25
EMPEAL - Empresa Júnior de Engenharia de Alimentos,Baré Júnior,NaN,95,3,1,0,0,0,AM,Manaus,8
EMPEAL - Empresa Júnior de Engenharia de Alimentos,Baré Júnior,NaN,95,3,2,0,0,0,AM,Manaus,8
EMPEAL - Empresa Júnior de Engenharia de Alimentos,Baré Júnior,NaN,95,3,3,0,0,0,AM,Manaus,8
EMPEAL - Empresa Júnior de Engenharia de Alimentos,Baré Júnior,NaN,95,3,4,0,0,0,AM,Manaus,8
UFV Coach,FEJEMG,NaN,33,1,1,0,0,0,MG,Florestal,7
UFV Coach,FEJEMG,NaN,33,1,2,0,0,0,MG,Florestal,7
UFV Coach,FEJEMG,NaN,33,1,3,0,0,0,MG,Florestal,7
UFV Coach,FEJEMG,NaN,33,1,4,0,0,0,MG,Florestal,7
SofTeam,SERJÚNIOR,33.75,33,1,1,0,0,0,SE,São Cristóvão,39
SofTeam,SERJÚNIOR,33.75,33,1,2,0,0,0,SE,São Cristóvão,39
SofTeam,SERJÚNIOR,33.75,33,1,3,1300,2,0,SE,São Cristóvão,39
SofTeam,SERJÚNIOR,33.75,33,1,4,1680,2,0,SE,São Cristóvão,39
Polaris Jr.,Concentro,1,50,12,1,0,0,0,DF,Brasília,15
Polaris Jr.,Concentro,1,50,12,2,0,0,0,DF,Brasília,15
Polaris Jr.,Concentro,1,50,12,3,280,1,2,DF,Brasília,15
Polaris Jr.,Concentro,1,50,12,4,0,0,1,DF,Brasília,15
CONSEQ,FEJEPAR,55.56,80,27,1,1480.8,1,0,PR,Maringá,13
CONSEQ,FEJEPAR,55.56,80,27,2,6253.1,3,0,PR,Maringá,13
CONSEQ,FEJEPAR,55.56,80,27,3,1505.7,1,0,PR,Maringá,13
CONSEQ,FEJEPAR,55.56,80,27,4,18849,4,0,PR,Maringá,13
Eleven Jr.,PB Júnior,20,43,3,1,0,0,0,PB,João Pessoa,19
Eleven Jr.,PB Júnior,20,43,3,2,0,0,0,PB,João Pessoa,19
Eleven Jr.,PB Júnior,20,43,3,3,30,1,0,PB,João Pessoa,19
Eleven Jr.,PB Júnior,20,43,3,4,155,2,0,PB,João Pessoa,19
Concreta Consultoria e Serviços,Concentro,22.5,40,60,1,450,1,0,DF,Brasília,37
Concreta Consultoria e Serviços,Concentro,22.5,40,60,2,22690,6,0,DF,Brasília,37
Concreta Consultoria e Serviços,Concentro,22.5,40,60,3,7690,7,0,DF,Brasília,37
Concreta Consultoria e Serviços,Concentro,22.5,40,60,4,0,0,0,DF,Brasília,37
EmPhar - Empresa Júnior de Farmácia,Goiás Júnior,12,80,3,1,0,0,0,GO,Goiânia,13
EmPhar - Empresa Júnior de Farmácia,Goiás Júnior,12,80,3,2,0,0,0,GO,Goiânia,13
EmPhar - Empresa Júnior de Farmácia,Goiás Júnior,12,80,3,3,50,1,0,GO,Goiânia,13
EmPhar - Empresa Júnior de Farmácia,Goiás Júnior,12,80,3,4,0,0,0,GO,Goiânia,13
CiBi Jr. - Empresa Júnior de Ciências Biológicas,FEJESP,NaN,33,1,1,0,0,0,SP,Assis,7
CiBi Jr. - Empresa Júnior de Ciências Biológicas,FEJESP,NaN,33,1,2,0,0,0,SP,Assis,7
CiBi Jr. - Empresa Júnior de Ciências Biológicas,FEJESP,NaN,33,1,3,0,0,0,SP,Assis,7
CiBi Jr. - Empresa Júnior de Ciências Biológicas,FEJESP,NaN,33,1,4,0,0,0,SP,Assis,7
TMC INTERNATIONAL (TRADE & MANAGEMENT CONSULTING),FEJEAP,NaN,40,8,1,0,0,0,AP,,5
TMC INTERNATIONAL (TRADE & MANAGEMENT CONSULTING),FEJEAP,NaN,40,8,2,0,0,0,AP,,5
TMC INTERNATIONAL (TRADE & MANAGEMENT CONSULTING),FEJEAP,NaN,40,8,3,0,0,0,AP,,5
TMC INTERNATIONAL (TRADE & MANAGEMENT CONSULTING),FEJEAP,NaN,40,8,4,0,0,0,AP,,5
Humanus Empresa Junior,FEJESP,24.75,66,13,1,0,0,0,SP,Assis,24
Humanus Empresa Junior,FEJESP,24.75,66,13,2,6823.65,2,0,SP,Assis,24
Humanus Empresa Junior,FEJESP,24.75,66,13,3,716,2,0,SP,Assis,24
Humanus Empresa Junior,FEJESP,24.75,66,13,4,0,0,0,SP,Assis,24
CONEQ - Consultoria Engenheria Química,FEJESC,NaN,60,2,1,0,0,0,SC,Criciúma,13
CONEQ - Consultoria Engenheria Química,FEJESC,NaN,60,2,2,0,0,0,SC,Criciúma,13
CONEQ - Consultoria Engenheria Química,FEJESC,NaN,60,2,3,0,0,0,SC,Criciúma,13
CONEQ - Consultoria Engenheria Química,FEJESC,NaN,60,2,4,0,0,0,SC,Criciúma,13
Enagri Jr - Projetos e Consultoria Agrícola,FEJEMG,21,60,12,1,0,0,0,MG,Lavras,23
Enagri Jr - Projetos e Consultoria Agrícola,FEJEMG,21,60,12,2,0,0,0,MG,Lavras,23
Enagri Jr - Projetos e Consultoria Agrícola,FEJEMG,21,60,12,3,500,1,0,MG,Lavras,23
Enagri Jr - Projetos e Consultoria Agrícola,FEJEMG,21,60,12,4,0,0,0,MG,Lavras,23
Ibmec Jr.,RioJunior,39.44,66,24,1,15156.36,3,0,RJ,Rio de Janeiro,17
Ibmec Jr.,RioJunior,39.44,66,24,2,16168.56,5,0,RJ,Rio de Janeiro,17
Ibmec Jr.,RioJunior,39.44,66,24,3,0,0,1,RJ,Rio de Janeiro,17
Ibmec Jr.,RioJunior,39.44,66,24,4,5265.09,1,0,RJ,Rio de Janeiro,17
Ecos Jr.,Juniores,68.14,55,17,1,1475,2,0,ES,Vitória,33
Ecos Jr.,Juniores,68.14,55,17,2,2000,1,0,ES,Vitória,33
Ecos Jr.,Juniores,68.14,55,17,3,2250,1,1,ES,Vitória,33
Ecos Jr.,Juniores,68.14,55,17,4,2380,3,0,ES,Vitória,33
ProPartners,Goiás Júnior,85,47,9,1,2128.32,2,0,GO,Aparecida de Goiânia,10
ProPartners,Goiás Júnior,85,47,9,2,1002,1,0,GO,Aparecida de Goiânia,10
ProPartners,Goiás Júnior,85,47,9,3,0,0,0,GO,Aparecida de Goiânia,10
ProPartners,Goiás Júnior,85,47,9,4,0,0,0,GO,Aparecida de Goiânia,10
MUSEOTEC - consultoria e serviços em museologia,Concentro,17.83,0,0,1,0,0,0,DF,Brasília,6
MUSEOTEC - consultoria e serviços em museologia,Concentro,17.83,0,0,2,0,0,0,DF,Brasília,6
MUSEOTEC - consultoria e serviços em museologia,Concentro,17.83,0,0,3,1050,4,0,DF,Brasília,6
MUSEOTEC - consultoria e serviços em museologia,Concentro,17.83,0,0,4,1600,2,1,DF,Brasília,6
Empresa Júnior de Assistência Veterinária,FEJESP,11,80,1,1,7300,2,0,SP,São Paulo,17
Empresa Júnior de Assistência Veterinária,FEJESP,11,80,1,2,0,0,0,SP,São Paulo,17
Empresa Júnior de Assistência Veterinária,FEJESP,11,80,1,3,0,0,0,SP,São Paulo,17
Empresa Júnior de Assistência Veterinária,FEJESP,11,80,1,4,0,0,0,SP,São Paulo,17
Sinc,FEJERS,30,70,3,1,2300,2,0,RS,Porto Alegre,22
Sinc,FEJERS,30,70,3,2,0,0,0,RS,Porto Alegre,22
Sinc,FEJERS,30,70,3,3,0,0,0,RS,Porto Alegre,22
Sinc,FEJERS,30,70,3,4,0,0,0,RS,Porto Alegre,22
SoluAli Jr ,Juniores,6,70,8,1,0,0,0,ES,,6
SoluAli Jr ,Juniores,6,70,8,2,620,4,0,ES,,6
SoluAli Jr ,Juniores,6,70,8,3,0,0,0,ES,,6
SoluAli Jr ,Juniores,6,70,8,4,0,0,0,ES,,6
Empreender Jr. ,FEJESP,NaN,50,17,1,0,0,0,SP,Tupã,11
Empreender Jr. ,FEJESP,NaN,50,17,2,0,0,0,SP,Tupã,11
Empreender Jr. ,FEJESP,NaN,50,17,3,0,0,0,SP,Tupã,11
Empreender Jr. ,FEJESP,NaN,50,17,4,0,0,0,SP,Tupã,11
Sercivil,SERJÚNIOR,15,80,12,1,0,0,0,SE,Estância,9
Sercivil,SERJÚNIOR,15,80,12,2,600,1,0,SE,Estância,9
Sercivil,SERJÚNIOR,15,80,12,3,2000,3,0,SE,Estância,9
Sercivil,SERJÚNIOR,15,80,12,4,0,0,0,SE,Estância,9
AgroJr. Consultoria ,FEJEPAR,NaN,0,0,1,0,0,0,PR,Maringá,5
AgroJr. Consultoria ,FEJEPAR,NaN,0,0,2,0,0,0,PR,Maringá,5
AgroJr. Consultoria ,FEJEPAR,NaN,0,0,3,0,0,0,PR,Maringá,5
AgroJr. Consultoria ,FEJEPAR,NaN,0,0,4,0,0,0,PR,Maringá,5
EPEC,FEJESC,43.08,80,26,1,6839.3,3,0,SC,Florianópolis,18
EPEC,FEJESC,43.08,80,26,2,17868,5,0,SC,Florianópolis,18
EPEC,FEJESC,43.08,80,26,3,29340.9,4,0,SC,Florianópolis,18
EPEC,FEJESC,43.08,80,26,4,11336.66,1,0,SC,Florianópolis,18
META Empresa Júnior de Administração,Concentro,110,0,0,1,0,0,0,DF,Brasília,7
META Empresa Júnior de Administração,Concentro,110,0,0,2,0,0,0,DF,Brasília,7
META Empresa Júnior de Administração,Concentro,110,0,0,3,1500,1,0,DF,Brasília,7
META Empresa Júnior de Administração,Concentro,110,0,0,4,0,0,0,DF,Brasília,7
Ejcad Consultoria,Juniores,24,70,18,1,0,0,0,ES,Vitória,6
Ejcad Consultoria,Juniores,24,70,18,2,2553,2,0,ES,Vitória,6
Ejcad Consultoria,Juniores,24,70,18,3,0,0,0,ES,Vitória,6
Ejcad Consultoria,Juniores,24,70,18,4,1300,1,1,ES,Vitória,6
NovaMente - E.J. de Psicologia da UFMA,Maranhão Júnior,21,73,4,1,0,0,0,MA,São Luís,17
NovaMente - E.J. de Psicologia da UFMA,Maranhão Júnior,21,73,4,2,9577.87,1,1,MA,São Luís,17
NovaMente - E.J. de Psicologia da UFMA,Maranhão Júnior,21,73,4,3,0,0,0,MA,São Luís,17
NovaMente - E.J. de Psicologia da UFMA,Maranhão Júnior,21,73,4,4,0,0,0,MA,São Luís,17
Ipharma Consultoria Farmacêutica Júnior,FEJECE,7.31,70,3,1,304,1,0,CE,Fortaleza,21
Ipharma Consultoria Farmacêutica Júnior,FEJECE,7.31,70,3,2,726,5,0,CE,Fortaleza,21
Ipharma Consultoria Farmacêutica Júnior,FEJECE,7.31,70,3,3,350,2,0,CE,Fortaleza,21
Ipharma Consultoria Farmacêutica Júnior,FEJECE,7.31,70,3,4,769,5,0,CE,Fortaleza,21
AgroPlan-UFV,FEJEMG,NaN,80,13,1,0,0,0,MG,Viçosa,24
AgroPlan-UFV,FEJEMG,NaN,80,13,2,0,0,0,MG,Viçosa,24
AgroPlan-UFV,FEJEMG,NaN,80,13,3,0,0,0,MG,Viçosa,24
AgroPlan-UFV,FEJEMG,NaN,80,13,4,0,0,0,MG,Viçosa,24
IME júnior,RioJunior,20,35,39,1,0,0,0,RJ,Rio de Janeiro,15
IME júnior,RioJunior,20,35,39,2,0,0,0,RJ,Rio de Janeiro,15
IME júnior,RioJunior,20,35,39,3,2400,1,0,RJ,Rio de Janeiro,15
IME júnior,RioJunior,20,35,39,4,0,0,0,RJ,Rio de Janeiro,15
Semear Consultoria,FEJEPAR,1,70,7,1,0,0,0,PR,Curitiba,7
Semear Consultoria,FEJEPAR,1,70,7,2,0,0,0,PR,Curitiba,7
Semear Consultoria,FEJEPAR,1,70,7,3,140,1,0,PR,Curitiba,7
Semear Consultoria,FEJEPAR,1,70,7,4,0,0,0,PR,Curitiba,7
Empresa Junior Mackenzie Consultoria,FEJESP,59.2,35,36,1,0,0,0,SP,São Paulo,34
Empresa Junior Mackenzie Consultoria,FEJESP,59.2,35,36,2,42006,4,0,SP,São Paulo,34
Empresa Junior Mackenzie Consultoria,FEJESP,59.2,35,36,3,5400,1,0,SP,São Paulo,34
Empresa Junior Mackenzie Consultoria,FEJESP,59.2,35,36,4,0,0,0,SP,São Paulo,34
CITi,FEJEPE,59.62,80,1,1,2300,2,0,PE,Recife,33
CITi,FEJEPE,59.62,80,1,2,26000,2,0,PE,Recife,33
CITi,FEJEPE,59.62,80,1,3,9550,4,1,PE,Recife,33
CITi,FEJEPE,59.62,80,1,4,62650,5,1,PE,Recife,33
CONSULTI JÚNIOR,FEJEA,62,80,2,1,0,0,0,AL,Arapiraca,14
CONSULTI JÚNIOR,FEJEA,62,80,2,2,1233.62,1,0,AL,Arapiraca,14
CONSULTI JÚNIOR,FEJEA,62,80,2,3,0,0,0,AL,Arapiraca,14
CONSULTI JÚNIOR,FEJEA,62,80,2,4,0,0,0,AL,Arapiraca,14
PIXEL,FEJESC,NaN,50,5,1,0,0,0,SC,Florianópolis,12
PIXEL,FEJESC,NaN,50,5,2,0,0,0,SC,Florianópolis,12
PIXEL,FEJESC,NaN,50,5,3,0,0,0,SC,Florianópolis,12
PIXEL,FEJESC,NaN,50,5,4,0,0,0,SC,Florianópolis,12
EMPRESA JÚNIOR ARAGUAIA XINGU (EJAX - Consultoria Agropecuária),FEMTEJ,NaN,33,3,1,0,0,0,MT,Confresa,11
EMPRESA JÚNIOR ARAGUAIA XINGU (EJAX - Consultoria Agropecuária),FEMTEJ,NaN,33,3,2,0,0,0,MT,Confresa,11
EMPRESA JÚNIOR ARAGUAIA XINGU (EJAX - Consultoria Agropecuária),FEMTEJ,NaN,33,3,3,0,0,0,MT,Confresa,11
EMPRESA JÚNIOR ARAGUAIA XINGU (EJAX - Consultoria Agropecuária),FEMTEJ,NaN,33,3,4,0,0,0,MT,Confresa,11
EEL Júnior,FEJESP,72.5,70,20,1,900,1,0,SP,Lorena,33
EEL Júnior,FEJESP,72.5,70,20,2,9317.52,1,0,SP,Lorena,33
EEL Júnior,FEJESP,72.5,70,20,3,0,0,0,SP,Lorena,33
EEL Júnior,FEJESP,72.5,70,20,4,0,0,0,SP,Lorena,33
Poli Júnior​,FEJESP,67.47,33,20,1,0,0,0,SP,São Paulo,83
Poli Júnior​,FEJESP,67.47,33,20,2,101917.76,10,0,SP,São Paulo,83
Poli Júnior​,FEJESP,67.47,33,20,3,32600,2,0,SP,São Paulo,83
Poli Júnior​,FEJESP,67.47,33,20,4,23222.23,3,0,SP,São Paulo,83
EEFUSP Júnior Consultoria ,FEJESP,6.77,33,1,1,7420,29,0,SP,,17
EEFUSP Júnior Consultoria ,FEJESP,6.77,33,1,2,0,0,0,SP,,17
EEFUSP Júnior Consultoria ,FEJESP,6.77,33,1,3,0,0,0,SP,,17
EEFUSP Júnior Consultoria ,FEJESP,6.77,33,1,4,800,1,0,SP,,17
ConstruREC,UNIJr-BA,21,50,31,1,0,0,0,BA,Cruz das Almas,33
ConstruREC,UNIJr-BA,21,50,31,2,3094.36,4,0,BA,Cruz das Almas,33
ConstruREC,UNIJr-BA,21,50,31,3,0,0,0,BA,Cruz das Almas,33
ConstruREC,UNIJr-BA,21,50,31,4,1470.6,1,0,BA,Cruz das Almas,33
Ex Lege Júnior,Goiás Júnior,20.25,43,4,1,137.62,4,0,GO,Goiânia,13
Ex Lege Júnior,Goiás Júnior,20.25,43,4,2,2854.4,11,0,GO,Goiânia,13
Ex Lege Júnior,Goiás Júnior,20.25,43,4,3,914,3,0,GO,Goiânia,13
Ex Lege Júnior,Goiás Júnior,20.25,43,4,4,342,2,0,GO,Goiânia,13
Doisnovemeia Publicidade,Concentro,9.64,90,45,1,12954.47,14,0,DF,Brasília,18
Doisnovemeia Publicidade,Concentro,9.64,90,45,2,16703.14,26,2,DF,Brasília,18
Doisnovemeia Publicidade,Concentro,9.64,90,45,3,900,3,0,DF,Brasília,18
Doisnovemeia Publicidade,Concentro,9.64,90,45,4,1805.34,2,0,DF,Brasília,18
Inova Consultoria Jr,FEJEMG,44,76,6,1,1032,1,0,MG,João Monlevade,20
Inova Consultoria Jr,FEJEMG,44,76,6,2,0,0,0,MG,João Monlevade,20
Inova Consultoria Jr,FEJEMG,44,76,6,3,0,0,0,MG,João Monlevade,20
Inova Consultoria Jr,FEJEMG,44,76,6,4,0,0,0,MG,João Monlevade,20
Jovens Projetistas,FEJESP,60,40,3,1,0,0,0,SP,Guaratinguetá,15
Jovens Projetistas,FEJESP,60,40,3,2,855,1,0,SP,Guaratinguetá,15
Jovens Projetistas,FEJESP,60,40,3,3,0,0,0,SP,Guaratinguetá,15
Jovens Projetistas,FEJESP,60,40,3,4,0,0,0,SP,Guaratinguetá,15
Caltech - Corporação Junior de Consultoria em Alimentos,FEJESC,34.5,70,21,1,4013,2,0,SC,Florianópolis,11
Caltech - Corporação Junior de Consultoria em Alimentos,FEJESC,34.5,70,21,2,2569,3,0,SC,Florianópolis,11
Caltech - Corporação Junior de Consultoria em Alimentos,FEJESC,34.5,70,21,3,320,1,0,SC,Florianópolis,11
Caltech - Corporação Junior de Consultoria em Alimentos,FEJESC,34.5,70,21,4,0,0,0,SC,Florianópolis,11
SGPampa Jr.,FEJERS,NaN,70,3,1,0,0,0,RS,Bagé,5
SGPampa Jr.,FEJERS,NaN,70,3,2,0,0,0,RS,Bagé,5
SGPampa Jr.,FEJERS,NaN,70,3,3,0,0,0,RS,Bagé,5
SGPampa Jr.,FEJERS,NaN,70,3,4,0,0,0,RS,Bagé,5
Engene Jr,FEJECE,NaN,33,1,1,0,0,0,CE,,17
Engene Jr,FEJECE,NaN,33,1,2,0,0,0,CE,,17
Engene Jr,FEJECE,NaN,33,1,3,0,0,0,CE,,17
Engene Jr,FEJECE,NaN,33,1,4,0,0,0,CE,,17
Legado Consultoria Júnior,RioJunior,27.4,33,15,1,4650,2,0,RJ,Rio de Janeiro,25
Legado Consultoria Júnior,RioJunior,27.4,33,15,2,3932,3,0,RJ,Rio de Janeiro,25
Legado Consultoria Júnior,RioJunior,27.4,33,15,3,2100,1,0,RJ,Rio de Janeiro,25
Legado Consultoria Júnior,RioJunior,27.4,33,15,4,1053.75,4,0,RJ,Rio de Janeiro,25
Uipi - Empresa Júnior de Design da UFSC,FEJESC,10,50,8,1,0,0,0,SC,Florianópolis,8
Uipi - Empresa Júnior de Design da UFSC,FEJESC,10,50,8,2,2650,4,0,SC,Florianópolis,8
Uipi - Empresa Júnior de Design da UFSC,FEJESC,10,50,8,3,2100,4,0,SC,Florianópolis,8
Uipi - Empresa Júnior de Design da UFSC,FEJESC,10,50,8,4,0,0,0,SC,Florianópolis,8
ADV Junior Consultoria Jurídica,UNIJr-BA,53.33,65,23,1,4400,5,0,BA,Salvador,16
ADV Junior Consultoria Jurídica,UNIJr-BA,53.33,65,23,2,4500,7,0,BA,Salvador,16
ADV Junior Consultoria Jurídica,UNIJr-BA,53.33,65,23,3,1350,3,0,BA,Salvador,16
ADV Junior Consultoria Jurídica,UNIJr-BA,53.33,65,23,4,0,0,0,BA,Salvador,16
Irhis Consultoria Júnior em Psicologia,FEJESP,33,33,3,1,8206.67,4,0,SP,Ribeirão Preto,19
Irhis Consultoria Júnior em Psicologia,FEJESP,33,33,3,2,0,0,0,SP,Ribeirão Preto,19
Irhis Consultoria Júnior em Psicologia,FEJESP,33,33,3,3,650,1,0,SP,Ribeirão Preto,19
Irhis Consultoria Júnior em Psicologia,FEJESP,33,33,3,4,2040,1,0,SP,Ribeirão Preto,19
Decisão Consultoria Júnior,FEJEMG,20.57,66,30,1,400,1,0,MG,Rio Paranaíba,20
Decisão Consultoria Júnior,FEJEMG,20.57,66,30,2,0,0,0,MG,Rio Paranaíba,20
Decisão Consultoria Júnior,FEJEMG,20.57,66,30,3,380,1,0,MG,Rio Paranaíba,20
Decisão Consultoria Júnior,FEJEMG,20.57,66,30,4,2896,5,0,MG,Rio Paranaíba,20
CIMATEC  jr,UNIJr-BA,28.67,40,3,1,4627.2,1,0,BA,Salvador,58
CIMATEC  jr,UNIJr-BA,28.67,40,3,2,1061.51,1,0,BA,Salvador,58
CIMATEC  jr,UNIJr-BA,28.67,40,3,3,484.24,1,1,BA,Salvador,58
CIMATEC  jr,UNIJr-BA,28.67,40,3,4,6011.62,6,0,BA,Salvador,58
AGRIFES JÚNIOR,Juniores,14.81,43,80,1,805,1,0,ES,Santa Teresa,33
AGRIFES JÚNIOR,Juniores,14.81,43,80,2,2070,12,0,ES,Santa Teresa,33
AGRIFES JÚNIOR,Juniores,14.81,43,80,3,2622,3,0,ES,Santa Teresa,33
AGRIFES JÚNIOR,Juniores,14.81,43,80,4,1015,5,0,ES,Santa Teresa,33
Terapêutica Jr.,Concentro,NaN,50,6,1,0,0,0,DF,Brasília,11
Terapêutica Jr.,Concentro,NaN,50,6,2,0,0,0,DF,Brasília,11
Terapêutica Jr.,Concentro,NaN,50,6,3,0,0,0,DF,Brasília,11
Terapêutica Jr.,Concentro,NaN,50,6,4,0,0,0,DF,Brasília,11
Struct,Concentro,NaN,50,3,1,0,0,0,DF,Brasília,11
Struct,Concentro,NaN,50,3,2,0,0,0,DF,Brasília,11
Struct,Concentro,NaN,50,3,3,0,0,0,DF,Brasília,11
Struct,Concentro,NaN,50,3,4,0,0,0,DF,Brasília,11
ATP Jr.: Consultoria em Bioprocessos ,FEJEMG,15,45,7,1,0,0,0,MG,Ouro Branco,24
ATP Jr.: Consultoria em Bioprocessos ,FEJEMG,15,45,7,2,360,1,0,MG,Ouro Branco,24
ATP Jr.: Consultoria em Bioprocessos ,FEJEMG,15,45,7,3,0,0,0,MG,Ouro Branco,24
ATP Jr.: Consultoria em Bioprocessos ,FEJEMG,15,45,7,4,0,0,0,MG,Ouro Branco,24
Aditum Júnior,Roraima Júnior,2,0,0,1,350,1,0,RR,,2
Aditum Júnior,Roraima Júnior,2,0,0,2,0,0,0,RR,,2
Aditum Júnior,Roraima Júnior,2,0,0,3,0,0,0,RR,,2
Aditum Júnior,Roraima Júnior,2,0,0,4,0,0,0,RR,,2
Empresa Junior FGV,FEJESP,35.36,42,20,1,14000,1,0,SP,São Paulo,49
Empresa Junior FGV,FEJESP,35.36,42,20,2,43550,3,0,SP,São Paulo,49
Empresa Junior FGV,FEJESP,35.36,42,20,3,81900,6,0,SP,São Paulo,49
Empresa Junior FGV,FEJESP,35.36,42,20,4,44600,4,0,SP,São Paulo,49
Trópicos Empresa Júnior,Piauí Júnior,27,80,1,1,0,0,1,PI,Picos,13
Trópicos Empresa Júnior,Piauí Júnior,27,80,1,2,0,0,0,PI,Picos,13
Trópicos Empresa Júnior,Piauí Júnior,27,80,1,3,0,0,0,PI,Picos,13
Trópicos Empresa Júnior,Piauí Júnior,27,80,1,4,700,1,0,PI,Picos,13
ADECON,FEJEPAR,36,90,35,1,0,0,0,PR,Maringá,23
ADECON,FEJEPAR,36,90,35,2,6600,1,0,PR,Maringá,23
ADECON,FEJEPAR,36,90,35,3,5880,1,0,PR,Maringá,23
ADECON,FEJEPAR,36,90,35,4,22820,1,0,PR,Maringá,23
Matriz Comunicação ,Concentro,10,33,5,1,0,0,0,DF,Brasília,11
Matriz Comunicação ,Concentro,10,33,5,2,1100,2,0,DF,Brasília,11
Matriz Comunicação ,Concentro,10,33,5,3,0,0,0,DF,Brasília,11
Matriz Comunicação ,Concentro,10,33,5,4,0,0,0,DF,Brasília,11
EJUR - Soluções Jurídicas,FEJESP,116.11,70,52,1,1140,2,0,SP,Franca,8
EJUR - Soluções Jurídicas,FEJESP,116.11,70,52,2,5975,9,0,SP,Franca,8
EJUR - Soluções Jurídicas,FEJESP,116.11,70,52,3,5000.6,7,0,SP,Franca,8
EJUR - Soluções Jurídicas,FEJESP,116.11,70,52,4,0,0,0,SP,Franca,8
Calculus Jr,UNIJr-BA,30,75,1,1,0,0,0,BA,Salvador,26
Calculus Jr,UNIJr-BA,30,75,1,2,2600,4,0,BA,Salvador,26
Calculus Jr,UNIJr-BA,30,75,1,3,0,0,0,BA,Salvador,26
Calculus Jr,UNIJr-BA,30,75,1,4,0,0,0,BA,Salvador,26
Business Consultoria,FEJEPAR,55.33,80,20,1,3000,1,0,PR,Londrina,13
Business Consultoria,FEJEPAR,55.33,80,20,2,6000,1,0,PR,Londrina,13
Business Consultoria,FEJEPAR,55.33,80,20,3,0,0,1,PR,Londrina,13
Business Consultoria,FEJEPAR,55.33,80,20,4,4320,1,0,PR,Londrina,13
Smart Consultoria Júnior,FEJESC,21.86,75,18,1,12873.2,3,0,SC,Joinville,20
Smart Consultoria Júnior,FEJESC,21.86,75,18,2,9030,3,0,SC,Joinville,20
Smart Consultoria Júnior,FEJESC,21.86,75,18,3,2300,1,0,SC,Joinville,20
Smart Consultoria Júnior,FEJESC,21.86,75,18,4,0,0,0,SC,Joinville,20
Edifique Jr,RN Júnior,9.7,33,28,1,1872.16,6,0,RN,Natal,15
Edifique Jr,RN Júnior,9.7,33,28,2,300,1,0,RN,Natal,15
Edifique Jr,RN Júnior,9.7,33,28,3,550,1,0,RN,Natal,15
Edifique Jr,RN Júnior,9.7,33,28,4,2500,2,0,RN,Natal,15
AgriTec Consultoria Agronômica,Roraima Júnior,NaN,0,0,1,0,0,0,RR,,10
AgriTec Consultoria Agronômica,Roraima Júnior,NaN,0,0,2,0,0,0,RR,,10
AgriTec Consultoria Agronômica,Roraima Júnior,NaN,0,0,3,0,0,0,RR,,10
AgriTec Consultoria Agronômica,Roraima Júnior,NaN,0,0,4,0,0,0,RR,,10
PARTHENON,FEJEPAR,25,80,3,1,0,0,0,PR,Umuarama,23
PARTHENON,FEJEPAR,25,80,3,2,350,1,0,PR,Umuarama,23
PARTHENON,FEJEPAR,25,80,3,3,280,1,0,PR,Umuarama,23
